Название,Жанр,Режиссер,Страна,Год,IMDB
Рататуй," мультфильм, приключения, комедия", Брэд Бёрд... , США,2007 , 8.1 
Я – легенда," фантастика, ужасы, драма", Фрэнсис Лоуренс ," США, Великобритания",2007 , 7.2 
Люди в чёрном," фантастика, боевик, приключения", Барри Зонненфельд , США,1997 , 7.3 
Довод," фантастика, боевик, драма", Кристофер Нолан ," Великобритания, США",2020 , 7.3 
Выживший," приключения, драма, история", Алехандро Гонсалес Иньярриту ," США, Гонконг, Тайвань",2015 , 8.0 
Ford против Ferrari," биография, драма, спорт", Джеймс Мэнголд , США,2019 , 8.1 
Корпорация монстров," мультфильм, приключения, комедия", Пит Доктер... , США,2001 , 8.1 
День сурка," комедия, драма, фэнтези", Харольд Рэмис , США,1993 , 8.0 
Иллюзия обмана," криминал, детектив, триллер", Луи Летерье ," Франция, США",2013 , 7.2 
Отступники," криминал, драма, триллер", Мартин Скорсезе ," США, Гонконг",2006 , 8.5 
Гарри Поттер и Орден Феникса," фэнтези, боевик, приключения", Дэвид Йейтс ," Великобритания, США",2007 , 7.5 
Шерлок Холмс," боевик, триллер, драма", Гай Ричи ," США, Германия",2009 , 7.6 
Kingsman: Секретная служба," боевик, комедия, криминал", Мэттью Вон ," Великобритания, США",2015 , 7.7 
Гарри Поттер и Дары Смерти: Часть I," фэнтези, приключения, семейный", Дэвид Йейтс ," Великобритания, США",2010 , 7.7 
Назад в будущее 2," фантастика, комедия, приключения", Роберт Земекис , США,1989 , 7.8 
Гарри Поттер и Принц-полукровка," фэнтези, приключения, боевик", Дэвид Йейтс ," Великобритания, США",2009 , 7.6 
Дэдпул 2," фантастика, боевик, приключения", Дэвид Литч ," США, Канада",2018 , 7.6 
Хоббит: Нежданное путешествие," фэнтези, приключения", Питер Джексон ," Новая Зеландия, США",2012 , 7.8 
Области тьмы," фантастика, триллер", Нил Бёргер , США,2011 , 7.4 
Бэтмен: Начало," боевик, драма", Кристофер Нолан ," США, Великобритания",2005 , 8.2 
Фантастические твари и где они обитают," фэнтези, приключения, семейный", Дэвид Йейтс ," Великобритания, США, Канада",2016 , 7.2 
Грань будущего," фантастика, боевик, приключения", Даг Лайман ," США, Канада, Индия",2014 , 7.9 
Прибытие," фантастика, драма, детектив", Дени Вильнёв ," США, Канада",2016 , 7.9 
"Карты, деньги, два ствола"," комедия, криминал", Гай Ричи ," Великобритания, США",1998 , 8.1 
Загадочная история Бенджамина Баттона," драма, фэнтези, мелодрама", Дэвид Финчер , США,2008 , 7.8 
Первому игроку приготовиться," фантастика, боевик, приключения", Стивен Спилберг ," США, Индия, Сингапур",2018 , 7.4 
Логан," фантастика, боевик, драма", Джеймс Мэнголд , США,2017 , 8.1 
Пираты Карибского моря: На краю света," приключения, фэнтези, боевик", Гор Вербински , США,2007 , 7.1 
Тайна Коко," мультфильм, фэнтези, приключения", Ли Анкрич... ," США, Мексика",2017 , 8.4 
Тор: Рагнарёк," фантастика, фэнтези, боевик", Тайка Вайтити , США,2017 , 7.9 
Веном," фантастика, боевик, приключения", Рубен Фляйшер ," США, Китай",2018 , 6.6 
Вверх," мультфильм, драма, комедия", Пит Доктер... , США,2009 , 8.3 
Игры разума," биография, драма, детектив", Рон Ховард , США,2001 , 8.2 
Человек-паук," фантастика, боевик, приключения", Сэм Рэйми , США,2002 , 7.4 
Как Приручить Дракона," мультфильм, фэнтези, комедия", Дин ДеБлуа... , США,2010 , 8.1 
Оно," ужасы, фэнтези, драма", Андрес Мускетти ," США, Канада",2017 , 7.3 
Унесенные призраками," аниме, мультфильм, фэнтези", Хаяо Миядзаки , Япония,2001 , 8.6 
Душа," мультфильм, фэнтези, семейный", Пит Доктер... , США,2020 , 8.0 
Ледниковый период," мультфильм, приключения, комедия", Крис Уэдж... , США,2002 , 7.5 
Эффект бабочки," фантастика, драма, триллер", Эрик Бресс... ," США, Канада",2004 , 7.6 
Джон Уик," боевик, криминал, триллер", Чад Стахелски... , США,2014 , 7.4 
Достучаться до небес," боевик, криминал, комедия", Томас Ян , Германия,1997 , 7.8 
Иван Васильевич меняет профессию," фантастика, комедия, приключения", Леонид Гайдай , СССР,1973 , 8.2 
Мстители: Эра Альтрона," фантастика, боевик, приключения", Джосс Уидон , США,2015 , 7.3 
Отряд самоубийц," фантастика, фэнтези, боевик", Дэвид Эйр , США,2016 , 5.9 
Терминатор," фантастика, боевик, приключения", Джеймс Кэмерон ," США, Великобритания",1984 , 8.1 
Великий Гэтсби," драма, мелодрама", Баз Лурман ," США, Австралия",2013 , 7.2 
Человек-паук: Вдали от дома," фантастика, фэнтези, боевик", Джон Уоттс ," США, Чехия, Австралия",2019 , 7.4 
Убить Билла," боевик, криминал, драма", Квентин Тарантино ," США, Китай",2003 , 8.2 
Вечное сияние чистого разума," фантастика, драма, мелодрама", Мишель Гондри , США,2004 , 8.3 
Хоббит: Пустошь Смауга," фэнтези, приключения", Питер Джексон ," Новая Зеландия, США",2013 , 7.8 
Брат," криминал, драма, боевик", Алексей Балабанов , Россия,1997 , 7.8 
Человек-паук: Возвращение домой," фантастика, боевик, приключения", Джон Уоттс , США,2017 , 7.4 
Маска," комедия, криминал, фэнтези", Чак Рассел , США,1994 , 7.0 
Назад в будущее 3," фантастика, приключения, комедия", Роберт Земекис , США,1990 , 7.5 
Железный человек 3," фантастика, боевик, приключения", Шейн Блэк , США,2013 , 7.1 
Железный человек 2," фантастика, боевик", Джон Фавро , США,2010 , 6.9 
В поисках Немо," мультфильм, приключения, комедия", Эндрю Стэнтон... ," США, Япония",2003 , 8.2 
Человек-паук: Нет пути домой," фантастика, фэнтези, боевик", Джон Уоттс , США,2021 , 8.2 
Одержимость," драма, музыка", Дэмьен Шазелл , США,2013 , 8.5 
Мальчишник в Вегасе, комедия, Тодд Филлипс , США,2009 , 7.7 
Человек-паук: Через вселенные," мультфильм, фантастика, боевик", Боб Персичетти... ," США, Канада",2018 , 8.4 
Социальная сеть," биография, драма", Дэвид Финчер , США,2010 , 7.8 
Один дома 2: Затерянный в Нью-Йорке," комедия, семейный", Крис Коламбус , США,1992 , 6.9 
Богемская рапсодия," биография, драма, музыка", Брайан Сингер ," США, Великобритания",2018 , 7.9 
Шрек 2," мультфильм, приключения, комедия", Эндрю Адамсон... , США,2004 , 7.4 
Тор," фэнтези, боевик", Кеннет Брана , США,2011 , 7.0 
Одиннадцать друзей Оушена," криминал, триллер", Стивен Содерберг , США,2001 , 7.7 
Первый мститель: Противостояние," фантастика, боевик", Энтони Руссо... ," США, Германия, Пуэрто-Рико",2016 , 7.8 
Сплит," триллер, ужасы", М. Найт Шьямалан ," США, Япония",2016 , 7.3 
Крёстный отец," криминал, драма", Фрэнсис Форд Коппола , США,1972 , 9.2 
Адвокат дьявола," драма, фэнтези, детектив", Тейлор Хэкфорд , США,1997 , 7.5 
Операция «Ы» и другие приключения Шурика," комедия, криминал, драма", Леонид Гайдай , СССР,1965 , 8.4 
Терминал," комедия, драма, мелодрама", Стивен Спилберг , США,2004 , 7.4 
